,Player,ESPN_Rank,proj_rank,Tot_fpoints
121,Brandin Podziemski,122,129.0,1990.9680451127815
131,Keldon Johnson,132,130.0,1979.9322033898302
149,Max Strus,143,131.5,1963.3818750000003
101,Jaime Jaquez Jr.,102,133.0,1956.5390070921987
143,Jeremy Sochan,140,134.5,1943.5290540540534
133,Kelly Oubre Jr.,134,136.0,1941.8278145695372
138,Cameron Johnson,138,137.5,1938.7391304347823
128,OG Anunoby,129,139.0,1924.094117647059
146,Andre Drummond,142,140.5,1898.0
159,Jalen Suggs,148,142.5,1882.4814814814818
157,Shaedon Sharpe,147,144.5,1864.459214501511
152,Chris Paul,145,146.5,1837.939393939394
155,Tre Jones,146,148.5,1834.8258992805759
160,Jordan Clarkson,149,150.5,1819.6666666666663
151,Onyeka Okongwu,144,152.5,1815.105882352941
140,Scoot Henderson,139,154.5,1796.421052631579
162,Harrison Barnes,150,156.5,1732.1151724137928
52,Jonas Valanciunas,53,,
79,Kristaps Porzingis,80,,
107,Dennis Schroder,108,,
112,Reed Sheppard,113,,
124,Zach Edey,125,,
126,Stephon Castle,127,,
132,Donovan Clingan,133,,
