,Rk_g,Player,Age_g,Team_g,Pos_g,G_g,GS_g,MP_g,FG_g,FGA_g,FG%_g,3P_g,3PA_g,3P%_g,2P_g,2PA_g,2P%_g,eFG%_g,FT_g,FTA_g,FT%_g,ORB_g,DRB_g,TRB_g,AST_g,STL_g,BLK_g,TOV_g,PF_g,PTS_g,Awards_g,PTS_tot,AST_tot,TRB_tot,STL_tot,BLK_tot,FT_tot,FTA_tot,FG_tot,FGA_tot,3P_tot,TOV_tot,Fpoints_tot,Fpoints_avg_G,Fpoints_avg_min,Fpoints_per36, Rk,Pos_per,Tm,G_per,MP_per,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional,Rk_per,Team_per,Pos,G,GS_per,MP,FG_per,FGA_per,FG%_per,3P_per,3PA_per,3P%_per,2P_per,2PA_per,2P%_per,eFG%_per,FT_per,FTA_per,FT%_per,ORB_per,DRB_per,TRB_per,AST_per,STL_per,BLK_per,TOV_per,PF_per,PTS_per,Awards_per
250,163.0,Moritz Wagner,26.0,ORL,C,80.0,1.0,17.7,4.2,6.9,0.601,0.5,1.4,0.33,3.7,5.5,0.673,0.636,2.1,2.6,0.814,1.5,2.9,4.3,1.2,0.5,0.3,1.2,2.0,10.9,,872.0,96.0,344.0,40.0,24.0,168.0,208.0,336.0,552.0,40.0,96.0,1592.0,19.9,1.1242937853107344,40.474576271186436,84,C,ORL,80,1415,20.6,0.676,0.208,0.37,9.6,19.3,14.4,11.2,1.4,1.4,13.1,22.8,3.5,2.0,5.6,0.188,1.7,0.3,2.0,1.4,wagnemo01,62.0,ORL,C,80.0,1.0,1415.0,8.4,14.0,0.601,1.0,2.9,0.33,7.5,11.1,0.673,0.636,4.2,5.2,0.814,3.0,5.9,8.8,2.4,1.0,0.5,2.5,4.1,22.1,
251,164.0,Bruce Brown,27.0,2TM,SG,67.0,44.0,27.9,4.1,8.7,0.478,0.8,2.4,0.323,3.4,6.2,0.538,0.523,1.7,2.1,0.824,0.8,3.4,4.2,2.9,0.9,0.3,1.3,2.2,10.8,,723.6,194.29999999999998,281.40000000000003,60.300000000000004,20.099999999999998,113.89999999999999,140.70000000000002,274.7,582.9,53.6,87.10000000000001,1534.3000000000002,22.900000000000002,0.8207885304659499,29.548387096774196,546,PG-SG,TOT,67,1866,11.6,0.563,0.282,0.244,3.1,14.0,8.5,13.2,1.5,0.8,11.8,16.5,1.2,1.0,2.2,0.058,-2.4,-1.0,-3.3,-0.6,brownbr01,286.0,2TM,SG,67.0,44.0,1866.0,5.4,11.2,0.478,1.0,3.2,0.323,4.3,8.1,0.538,0.523,2.3,2.7,0.824,1.0,4.5,5.5,3.7,1.1,0.3,1.7,2.9,14.0,
260,165.0,Jake LaRavia,22.0,MEM,PF,35.0,6.0,23.0,3.4,8.7,0.389,1.5,4.5,0.34,1.9,4.2,0.442,0.477,2.6,3.1,0.826,1.5,2.2,3.7,1.7,0.8,0.3,1.3,2.0,10.8,,378.0,59.5,129.5,28.0,10.5,91.0,108.5,119.0,304.5,52.5,45.5,658.0,18.8,0.8173913043478261,29.42608695652174,403,PF,MEM,35,806,12.6,0.54,0.515,0.36,6.7,10.9,8.7,11.1,1.8,1.4,11.4,21.1,0.3,0.8,1.0,0.062,-1.4,-1.0,-2.5,-0.1,laravja01,183.0,MEM,PF,35.0,6.0,806.0,5.3,13.5,0.389,2.4,7.0,0.34,2.9,6.6,0.442,0.477,4.0,4.9,0.826,2.3,3.4,5.7,2.6,1.3,0.5,2.0,3.1,16.9,
261,166.0,Santi Aldama,23.0,MEM,PF,61.0,35.0,26.5,4.0,9.3,0.435,1.7,5.0,0.349,2.3,4.3,0.534,0.528,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7,,652.6999999999999,140.29999999999998,353.8,42.699999999999996,54.9,54.9,85.39999999999999,244.0,567.3000000000001,103.7,67.10000000000001,1537.1999999999998,25.199999999999996,0.9509433962264149,34.23396226415093,151,PF,MEM,61,1618,13.1,0.539,0.535,0.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,0.4,2.0,2.4,0.07,-0.7,0.4,-0.2,0.7,aldamsa01,261.0,MEM,PF,61.0,35.0,1618.0,5.5,12.6,0.435,2.4,6.8,0.349,3.1,5.9,0.534,0.528,1.2,1.9,0.621,1.6,6.2,7.8,3.1,1.0,1.2,1.5,2.0,14.6,
262,167.0,Simone Fontecchio,28.0,2TM,SF,66.0,43.0,24.9,3.8,8.3,0.46,2.0,5.1,0.401,1.8,3.2,0.551,0.582,0.8,1.0,0.818,1.0,2.8,3.7,1.5,0.7,0.3,1.0,1.7,10.5,,693.0,99.0,244.20000000000002,46.199999999999996,19.8,52.800000000000004,66.0,250.79999999999998,547.8000000000001,132.0,66.0,1339.7999999999997,20.299999999999997,0.8152610441767068,29.34939759036144,195,SF,TOT,66,1644,12.1,0.6,0.609,0.12,4.3,12.2,8.3,8.7,1.3,1.2,10.5,16.5,1.5,0.6,2.1,0.061,0.0,-1.0,-1.0,0.4,fontesi01,231.0,2TM,SF,66.0,43.0,1644.0,5.5,12.0,0.46,2.9,7.3,0.401,2.6,4.7,0.551,0.582,1.2,1.4,0.818,1.4,4.0,5.4,2.2,1.0,0.5,1.5,2.4,15.2,
271,168.0,Spencer Dinwiddie,30.0,2TM,PG,76.0,52.0,28.3,3.3,8.4,0.392,1.6,4.8,0.337,1.7,3.6,0.467,0.489,2.2,2.8,0.805,0.4,2.3,2.7,4.7,0.7,0.3,1.2,1.8,10.5,,798.0,357.2,205.20000000000002,53.199999999999996,22.8,167.20000000000002,212.79999999999998,250.79999999999998,638.4,121.60000000000001,91.2,1778.3999999999999,23.4,0.8268551236749115,29.766784452296815,250,PG,TOT,76,2152,11.7,0.543,0.575,0.328,1.5,9.0,5.2,22.7,1.2,0.9,11.1,16.6,2.3,1.3,3.6,0.081,-1.3,-0.6,-1.9,0.1,dinwisp01,319.0,2TM,PG,76.0,52.0,2152.0,4.2,10.7,0.392,2.1,6.2,0.337,2.1,4.6,0.467,0.489,2.8,3.5,0.805,0.5,2.9,3.4,6.0,0.9,0.4,1.5,2.3,13.3,
280,169.0,Jaden McDaniels,23.0,MIN,SF,72.0,71.0,29.2,4.3,8.7,0.489,1.2,3.5,0.337,3.1,5.2,0.592,0.557,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3.0,10.5,,756.0,100.8,223.20000000000002,64.8,43.199999999999996,57.6,79.2,309.59999999999997,626.4,86.39999999999999,86.39999999999999,1497.6,20.799999999999997,0.7123287671232876,25.643835616438356,491,SF,MIN,72,2105,9.4,0.571,0.406,0.126,3.2,8.7,6.0,6.8,1.5,1.8,11.6,15.7,0.3,3.1,3.4,0.077,-3.3,0.7,-2.6,-0.3,mcdanja02,349.0,MIN,SF,72.0,71.0,2105.0,5.3,10.7,0.489,1.5,4.4,0.337,3.8,6.4,0.592,0.557,1.0,1.4,0.722,1.0,2.9,3.8,1.7,1.1,0.7,1.5,3.7,12.9,
281,170.0,Alec Burks,32.0,2TM,SG,66.0,1.0,18.4,3.2,8.6,0.369,1.9,5.0,0.376,1.3,3.6,0.36,0.478,2.2,2.5,0.868,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.1,10.4,,686.4,85.8,151.79999999999998,26.400000000000002,13.200000000000001,145.20000000000002,165.0,211.20000000000002,567.6,125.39999999999999,46.199999999999996,1036.1999999999998,15.699999999999998,0.8532608695652173,30.71739130434782,400,SG,TOT,66,1212,12.9,0.536,0.58,0.293,2.2,11.8,6.9,10.7,1.1,0.9,7.0,24.4,0.7,0.7,1.4,0.054,-0.3,-2.0,-2.3,-0.1,burksal01,78.0,2TM,SG,66.0,1.0,1212.0,6.2,16.9,0.369,3.7,9.8,0.376,2.6,7.1,0.36,0.478,4.3,5.0,0.868,0.7,3.7,4.5,2.6,0.8,0.4,1.4,2.2,20.5,
290,171.0,Dalano Banton,24.0,2TM,PG,54.0,9.0,19.4,3.7,9.3,0.404,1.1,3.7,0.296,2.6,5.6,0.475,0.463,1.7,2.2,0.783,0.8,2.5,3.3,2.4,0.6,0.4,1.4,1.2,10.3,,556.2,129.6,178.2,32.4,21.6,91.8,118.80000000000001,199.8,502.20000000000005,59.400000000000006,75.6,988.2,18.3,0.943298969072165,33.95876288659794,243,PG,TOT,54,1047,13.3,0.504,0.398,0.24,4.2,15.2,9.5,19.4,1.6,1.7,12.2,25.7,-0.4,0.9,0.5,0.024,-0.7,-0.6,-1.3,0.2,bantoda01,113.0,2TM,PG,54.0,9.0,1047.0,6.9,17.2,0.404,2.0,6.8,0.296,4.9,10.3,0.475,0.463,3.2,4.1,0.783,1.4,4.7,6.1,4.4,1.1,0.7,2.6,2.2,19.2,
299,172.0,Grant Williams,25.0,2TM,PF,76.0,43.0,28.0,3.6,8.0,0.456,1.7,4.4,0.375,2.0,3.5,0.558,0.56,1.4,1.8,0.757,1.1,3.1,4.2,2.3,0.6,0.5,1.4,3.0,10.3,,782.8000000000001,174.79999999999998,319.2,45.6,38.0,106.39999999999999,136.8,273.6,608.0,129.2,106.39999999999999,1611.2000000000003,21.200000000000003,0.7571428571428572,27.25714285714286,493,PF,TOT,76,2130,10.6,0.588,0.555,0.231,4.4,12.2,8.3,11.3,1.0,1.6,14.1,15.9,1.3,1.3,2.6,0.059,-1.9,-0.7,-2.6,-0.3,willigr01,318.0,2TM,PF,76.0,43.0,2130.0,4.7,10.2,0.456,2.1,5.7,0.375,2.5,4.5,0.558,0.56,1.8,2.4,0.757,1.5,3.9,5.4,2.9,0.7,0.7,1.8,3.8,13.3,
