Number,Name,Team,Primary_Position,Secondary_Position,Fpoints_avg_G,Fpoints_avg_min,Fpoints_pergame_rank,Fpoints_permin_rank,Zscore_Fpoints_avg_G,Zscore_Fpoints_avg_min
112,Donte DiVincenzo,NY*,SG20,N/A,30.39999999999999,1.0446735395189,100.0,156.0,-0.46602762387832164,-0.3530149558891985
113,Reed Sheppard,HOU,SG21,N/A,,,,,,
114,Walker Kessler,UTAH,C27,N/A,28.2,1.2103004291845492,121.0,60.0,-0.7143169055188758,0.4520388872390193
115,Caris LeVert,CLE,SG22,SF,30.3,1.0520833333333333,101.0,152.0,-0.47731350031652764,-0.3169985638701288
116,Mike Conley,MIN,PG28,N/A,30.60000000000001,1.0588235294117652,96.0,151.0,-0.4434558710019056,-0.28423685007273003
117,Jaden Ivey,DET,SG23,N/A,25.0,0.8680555555555556,151.0,305.0,-1.0754649515415013,-1.211492628459643
118,John Collins,UTAH,PF21,N/A,30.4,1.0857142857142856,99.0,143.0,-0.4660276238783208,-0.1535303763251987
119,Jordan Poole,WSH,SG24,PG,29.2,0.9700996677740864,108.0,213.0,-0.6014581411368054,-0.7154922213036945
120,Khris Middleton,MIL,SF20,N/A,31.8,1.1777777777777778,82.0,85.0,-0.3080253537434218,0.2939577594910119
121,Jerami Grant,POR,PF22,N/A,31.0,0.9144542772861356,90.0,262.0,-0.39831236524907837,-0.985964821224685
122,Brandin Podziemski,GS,SG25,N/A,24.1,0.9060150375939848,157.5,270.0,-1.1770378394853647,-1.0269849862532097
123,Deandre Ayton,POR,C28,N/A,36.4,1.123456790123457,61.0,120.0,0.21112496241410228,0.02992261422014502
124,Ausar Thompson,DET,SF21,PF,23.700000000000003,0.9442231075697212,160.0,235.0,-1.2221813452381929,-0.8412690458369362
125,Zach Edey,MEM,C29,N/A,,,,,,
126,Draymond Green,GS,PF23,C,31.0,1.1439114391143912,90.0,111.0,-0.39831236524907837,0.12934544232029518
127,Stephon Castle,SA,PG29,N/A,,,,,,
128,Ayo Dosunmu,CHI,SG26,N/A,25.4,0.8728522336769758,146.0,300.0,-1.0303214457886734,-1.1881776693748363
129,OG Anunoby,NY,SF22,PF,29.5,0.8676470588235294,106.5,307.0,-0.5676005118221841,-1.2134781868716065
130,Malik Monk,SAC,SG27,SF,29.000000000000007,1.1153846153846156,112.0,129.0,-0.6240298940132186,-0.009313377647028564
131,Ivica Zubac,LAC,C30,N/A,29.1,1.1022727272727273,110.0,133.0,-0.6127440175750122,-0.0730456371638971
132,Keldon Johnson,SA,SF23,N/A,28.0,0.9491525423728812,122.0,231.0,-0.7368886583952899,-0.8173088033862986
133,Donovan Clingan,POR,C31,N/A,,,,,,
134,Kelly Oubre Jr.,PHI,SF24,SG,27.200000000000006,0.9006622516556294,128.0,280.0,-0.8271756699009456,-1.0530029891259005
