,Player,Fpoints_avg_G,Fpoints_avg_min,Fpoints_per36,STL%,BLK%,USG,3PAr,FTr,TRB%,OWS,DWS,WS/48,BPM,VORP,Fpoints_permin_rank,Fpoints_pergame_rank,permin_pergame_rank_diff
167,Bobby Portis,27.5,1.1224489795918366,40.40816326530612,1.6,1.4,22.9,0.268,0.135,16.6,2.1,2.6,0.112,-0.8,0.6,36.0,42.5,-6.5
173,Naz Reid,26.399999999999995,1.0909090909090908,39.27272727272727,1.6,3.3,23.1,0.479,0.174,12.2,1.1,3.8,0.12,1.5,1.7,41.0,45.0,-4.0
191,Jalen Suggs,26.5,0.9814814814814816,35.333333333333336,2.6,2.2,19.7,0.539,0.218,6.6,1.5,3.2,0.112,1.0,1.5,47.0,44.0,3.0
192,Jrue Holiday,32.2,0.9817073170731708,35.34146341463416,1.3,2.1,16.3,0.467,0.104,8.9,3.3,3.0,0.133,2.1,2.4,46.0,37.0,9.0
212,Jaime Jaquez Jr.,23.3,0.8262411347517731,29.74468085106383,1.8,0.9,18.7,0.29,0.251,7.6,1.4,2.7,0.092,-1.9,0.1,53.0,50.0,3.0
233,Russell Westbrook,25.3,1.1244444444444446,40.48,2.4,1.4,25.2,0.232,0.241,12.7,0.2,1.9,0.066,0.5,1.0,35.0,48.0,-13.0
245,Herbert Jones,27.5,0.9016393442622952,32.459016393442624,2.2,2.6,14.1,0.464,0.269,6.5,3.3,3.0,0.131,0.6,1.6,51.0,42.5,8.5
311,T.J. McConnell,26.2,1.439560439560439,51.82417582417582,2.6,0.5,23.7,0.074,0.105,8.4,2.8,1.1,0.143,3.0,1.6,10.0,47.0,-37.0
314,Alex Caruso,29.999999999999996,1.0452961672473866,37.63066202090592,2.9,3.5,14.7,0.616,0.177,7.5,2.3,2.6,0.115,2.5,2.3,44.0,39.0,5.0
360,Brandin Podziemski,24.1,0.9060150375939848,32.616541353383454,1.5,0.6,15.4,0.392,0.132,11.7,2.1,2.0,0.1,-0.1,0.9,49.0,49.0,0.0
365,Dereck Lively II,26.3,1.1191489361702127,40.28936170212766,1.3,5.2,12.6,0.007,0.274,16.0,3.1,1.8,0.183,0.5,0.8,38.0,46.0,-8.0
450,Jose Alvarado,17.7,0.9619565217391304,34.630434782608695,2.8,1.4,17.3,0.6,0.151,6.9,0.6,1.5,0.097,-0.1,0.5,48.0,55.0,-7.0
508,Jonathan Isaac,19.3,1.221518987341772,43.974683544303794,2.3,7.1,16.7,0.392,0.287,16.7,1.5,2.1,0.188,3.8,1.4,24.0,54.0,-30.0
